siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
CA66,Annual,1999,13,15,96,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,1574.100,2.517,3,364,"Nov  2 1999 12:00AM","Dec 28 1999 12:00AM"
CA66,Annual,2000,88,100,96,.030,.041,.018,.390,.038,.221,.654,.229,5.319,5.479,23722.000,37.203,16,372,"Dec 28 1999 12:00AM","Jan  3 2001 12:00AM"
CA66,Annual,2001,88,100,69,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,19850.000,43.307,14,362,"Jan  3 2001 12:00AM","Dec 31 2001 12:00AM"
CA66,Annual,2002,95,100,70,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,14042.700,29.515,13,365,"Dec 31 2001 12:00AM","Dec 31 2002 12:00AM"
CA66,Annual,2003,91,100,94,.047,.025,.012,.215,.100,.334,.385,.239,5.408,4.875,16416.600,26.988,20,364,"Dec 31 2002 12:00AM","Dec 30 2003 12:00AM"
CA66,Annual,2004,100,100,100,.021,.017,.013,.166,.040,.204,.301,.183,5.344,4.036,23047.900,32.969,18,365,"Dec 30 2003 12:00AM","Dec 29 2004 12:00AM"
CA66,Annual,2005,92,100,98,.030,.020,.011,.193,.035,.182,.347,.162,5.415,3.923,32637.300,48.675,20,370,"Dec 29 2004 12:00AM","Jan  3 2006 12:00AM"
CA66,Annual,2006,93,100,86,.051,.030,.017,.247,.047,.206,.448,.261,5.358,4.833,20359.100,34.907,19,364,"Jan  3 2006 12:00AM","Jan  2 2007 12:00AM"
CA66,Annual,2007,88,100,85,.048,.047,.021,.422,.065,.259,.743,.241,5.373,5.657,8923.200,15.456,16,365,"Jan  2 2007 12:00AM","Jan  2 2008 12:00AM"
CA66,Annual,2008,92,100,83,.048,.032,.015,.300,.056,.267,.536,.171,5.422,4.789,18230.700,32.080,14,363,"Jan  2 2008 12:00AM","Dec 30 2008 12:00AM"
CA66,Annual,2009,93,100,95,.041,.029,.015,.275,.052,.207,.486,.197,5.410,4.739,18639.700,28.654,16,364,"Dec 30 2008 12:00AM","Dec 29 2009 12:00AM"
CA66,Annual,2010,85,100,66,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,22453.300,51.238,21,364,"Dec 29 2009 12:00AM","Dec 28 2010 12:00AM"
CA66,Annual,2011,96,100,79,.050,.034,.022,.256,.045,.175,.446,.229,5.359,4.352,19943.100,37.833,23,371,"Dec 28 2010 12:00AM","Jan  3 2012 12:00AM"
CA66,Annual,2012,94,100,86,.051,.048,.034,.372,.062,.223,.680,.260,5.413,5.437,22586.500,37.427,18,363,"Jan  3 2012 12:00AM","Dec 31 2012 12:00AM"
CA66,Annual,2013,96,100,87,.032,.014,.009,.105,.051,.183,.184,.110,5.487,3.127,2667.200,4.737,10,365,"Dec 31 2012 12:00AM","Dec 31 2013 12:00AM"
CA66,Annual,2014,98,100,100,.031,.030,.014,.242,.096,.170,.421,.157,5.592,4.073,20868.700,32.334,13,364,"Dec 31 2013 12:00AM","Dec 30 2014 12:00AM"
CA66,Annual,2015,98,100,98,.027,.027,.014,.217,.083,.161,.396,.174,5.486,4.001,12489.800,19.685,17,364,"Dec 30 2014 12:00AM","Dec 29 2015 12:00AM"
CA66,Annual,2016,94,100,84,.028,.025,.013,.204,.076,.163,.393,.139,5.478,3.749,19392.100,35.916,18,371,"Dec 29 2015 12:00AM","Jan  3 2017 12:00AM"
CA66,Annual,2017,88,100,73,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,17538.600,37.871,14,364,"Jan  3 2017 12:00AM","Jan  2 2018 12:00AM"
CA66,Annual,2018,93,97,86,.038,.020,.077,.124,.065,.161,.242,.084,5.510,3.401,18845.100,33.757,13,362,"Jan  2 2018 12:00AM","Dec 18 2018 12:00AM"
CA66,Annual,2019,90,100,80,.026,.030,.015,.262,.042,.141,.486,.126,5.395,4.026,28264.500,55.778,17,364,"Dec 18 2018 12:00AM","Dec 31 2019 12:00AM"
CA66,Annual,2020,92,99,81,.044,.019,.014,.148,.184,.294,.255,.187,5.584,3.925,8896.600,17.551,14,368,"Dec 31 2019 12:00AM","Dec 29 2020 12:00AM"
CA66,Annual,2021,96,99,100,.033,.019,.031,.145,.032,.068,.260,.081,5.576,2.860,23830.700,36.364,14,364,"Dec 29 2020  8:02PM","Dec 28 2021  4:05PM"
CA66,Annual,2022,96,99,97,.038,.016,.013,.140,.051,.110,.246,.102,5.590,2.929,17940.600,29.235,17,371,"Dec 28 2021  4:05PM","Jan  3 2023  6:35PM"
