Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
214,Salinas South II,Monterey Bay,5/18/2018,0100,138,0.01, ,0.00, ,0, ,1.2, ,12.5, ,80, ,9.2, ,2.5, ,302, ,17.1, 
214,Salinas South II,Monterey Bay,5/18/2018,0200,138,0.01, ,0.00, ,0, ,1.2, ,12.5, ,80, ,9.1, ,2.4, ,309, ,16.9, 
214,Salinas South II,Monterey Bay,5/18/2018,0300,138,0.01, ,0.00, ,0, ,1.2, ,12.4, ,81, ,9.2, ,2.1, ,307, ,16.8, 
214,Salinas South II,Monterey Bay,5/18/2018,0400,138,0.01, ,0.00, ,0, ,1.2, ,12.4, ,81, ,9.3, ,2.0, ,308, ,16.7, 
214,Salinas South II,Monterey Bay,5/18/2018,0500,138,0.01, ,0.00, ,0, ,1.2, ,12.2, ,84, ,9.5, ,2.0, ,317, ,16.6, 
214,Salinas South II,Monterey Bay,5/18/2018,0600,138,0.01, ,0.00, ,8, ,1.2, ,11.9, ,88, ,10.0, ,1.9, ,308, ,16.5, 
214,Salinas South II,Monterey Bay,5/18/2018,0700,138,0.02, ,0.00, ,37, ,1.2, ,12.1, ,86, ,9.9, ,1.8, ,292, ,16.4, 
214,Salinas South II,Monterey Bay,5/18/2018,0800,138,0.03, ,0.00, ,78, ,1.2, ,12.5, ,82, ,9.6, ,2.0, ,293, ,16.3, 
214,Salinas South II,Monterey Bay,5/18/2018,0900,138,0.09, ,0.00, ,199, ,1.2, ,12.9, ,82, ,10.0, ,2.0, ,306, ,16.2, 
214,Salinas South II,Monterey Bay,5/18/2018,1000,138,0.13, ,0.00, ,265, ,1.2, ,13.8, ,79, ,10.2, ,2.1, ,322, ,16.2, 
214,Salinas South II,Monterey Bay,5/18/2018,1100,138,0.40, ,0.00, ,650, ,1.3, ,15.1, ,74, ,10.5, ,2.2, ,333, ,16.2, 
214,Salinas South II,Monterey Bay,5/18/2018,1200,138,0.61, ,0.00, ,912, ,1.3, ,17.8, ,63, ,10.6, ,2.8, ,334, ,16.2, 
