Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
37,USDA Salinas,Monterey Bay,9/8/1991,0100,251,0.02, ,0.00, ,-2, ,1.2, ,13.7, ,76, ,9.5, ,2.4, ,339, ,20.4, 
37,USDA Salinas,Monterey Bay,9/8/1991,0200,251,0.01, ,0.00, ,-2, ,1.2, ,13.6, ,76, ,9.4, ,1.6, ,336, ,20.3, 
37,USDA Salinas,Monterey Bay,9/8/1991,0300,251,0.01, ,0.00, ,-2, ,1.2, ,13.6, ,76, ,9.4, ,0.9, ,268, ,20.3, 
37,USDA Salinas,Monterey Bay,9/8/1991,0400,251,0.01, ,0.00, ,-2, ,1.2, ,13.7, ,76, ,9.4, ,0.9, ,238, ,20.2, 
37,USDA Salinas,Monterey Bay,9/8/1991,0500,251,0.01, ,0.00, ,-2, ,1.2, ,13.6, ,76, ,9.4, ,1.3, ,15, ,20.2, 
37,USDA Salinas,Monterey Bay,9/8/1991,0600,251,0.01, ,0.00, ,-1, ,1.2, ,13.6, ,76, ,9.4, ,1.0, ,333, ,20.1, 
37,USDA Salinas,Monterey Bay,9/8/1991,0700,251,0.02, ,0.00, ,15, ,1.2, ,13.7, ,76, ,9.4, ,1.7, ,312, ,20.0, 
37,USDA Salinas,Monterey Bay,9/8/1991,0800,251,0.04, ,0.00, ,55, ,1.2, ,13.6, ,75, ,9.3, ,2.4, ,300, ,20.0, 
37,USDA Salinas,Monterey Bay,9/8/1991,0900,251,0.12, ,0.00, ,210, ,1.2, ,14.3, ,73, ,9.5, ,2.0, ,313, ,19.9, 
37,USDA Salinas,Monterey Bay,9/8/1991,1000,251,0.35, ,0.00, ,554, ,1.2, ,16.3, ,65, ,9.7, ,1.7, ,315, ,19.9, 
37,USDA Salinas,Monterey Bay,9/8/1991,1100,251,0.55, ,0.00, ,788, ,1.2, ,18.8, ,53, ,9.0, ,3.0, ,311, ,19.9, 
37,USDA Salinas,Monterey Bay,9/8/1991,1200,251,0.65, ,0.00, ,852, ,1.1, ,20.4, ,45, ,8.2, ,4.1, ,314, ,20.0, 
37,USDA Salinas,Monterey Bay,9/8/1991,1300,251,0.69, ,0.00, ,856, ,1.1, ,20.3, ,45, ,8.0, ,5.8, ,313, ,20.2, 
37,USDA Salinas,Monterey Bay,9/8/1991,1400,251,0.64, ,0.00, ,787, ,1.0, ,19.0, ,48, ,7.6, ,6.8, ,318, ,20.5, 
37,USDA Salinas,Monterey Bay,9/8/1991,1500,251,0.55, ,0.00, ,656, ,1.0, ,18.3, ,50, ,7.6, ,7.0, ,324, ,20.7, 
37,USDA Salinas,Monterey Bay,9/8/1991,1600,251,0.41, ,0.00, ,465, ,1.1, ,17.9, ,52, ,7.8, ,7.0, ,327, ,20.9, 
37,USDA Salinas,Monterey Bay,9/8/1991,1700,251,0.26, ,0.00, ,307, ,1.1, ,16.7, ,60, ,8.9, ,6.1, ,327, ,21.0, 
37,USDA Salinas,Monterey Bay,9/8/1991,1800,251,0.12, ,0.00, ,93, ,1.2, ,15.2, ,70, ,9.7, ,5.8, ,329, ,21.0, 
37,USDA Salinas,Monterey Bay,9/8/1991,1900,251,0.05, ,0.00, ,4, ,1.2, ,14.4, ,72, ,9.5, ,5.9, ,331, ,21.0, 
37,USDA Salinas,Monterey Bay,9/8/1991,2000,251,0.04, ,0.00, ,-2, ,1.2, ,14.0, ,73, ,9.2, ,5.6, ,329, ,20.9, 
37,USDA Salinas,Monterey Bay,9/8/1991,2100,251,0.04, ,0.00, ,-2, ,1.1, ,14.0, ,72, ,8.9, ,5.4, ,339, ,20.8, 
37,USDA Salinas,Monterey Bay,9/8/1991,2200,251,0.04, ,0.00, ,-2, ,1.1, ,13.3, ,72, ,8.4, ,5.3, ,337, ,20.7, 
37,USDA Salinas,Monterey Bay,9/8/1991,2300,251,0.03, ,0.00, ,-2, ,1.1, ,13.0, ,72, ,8.0, ,4.7, ,334, ,20.6, 
37,USDA Salinas,Monterey Bay,9/8/1991,2400,251,0.03, ,0.00, ,-2, ,1.1, ,13.0, ,71, ,7.9, ,4.1, ,328, ,20.5, 
37,USDA Salinas,Monterey Bay,9/9/1991,0100,252,0.03, ,0.00, ,-2, ,1.0, ,12.9, ,70, ,7.7, ,3.4, ,326, ,20.3, 
